ID,t2,anatomy
ProstateX-0199,PROSTATEx/images/ProstateX-0199.nii.gz,PROSTATEx/anatomy/ProstateX-0199.nii.gz
ProstateX-0093,PROSTATEx/images/ProstateX-0093.nii.gz,PROSTATEx/anatomy/ProstateX-0093.nii.gz
ProstateX-0038,PROSTATEx/images/ProstateX-0038.nii.gz,PROSTATEx/anatomy/ProstateX-0038.nii.gz
ProstateX-0024,PROSTATEx/images/ProstateX-0024.nii.gz,PROSTATEx/anatomy/ProstateX-0024.nii.gz
ProstateX-0096,PROSTATEx/images/ProstateX-0096.nii.gz,PROSTATEx/anatomy/ProstateX-0096.nii.gz
ProstateX-0111,PROSTATEx/images/ProstateX-0111.nii.gz,PROSTATEx/anatomy/ProstateX-0111.nii.gz
ProstateX-0029,PROSTATEx/images/ProstateX-0029.nii.gz,PROSTATEx/anatomy/ProstateX-0029.nii.gz
ProstateX-0019,PROSTATEx/images/ProstateX-0019.nii.gz,PROSTATEx/anatomy/ProstateX-0019.nii.gz
ProstateX-0060,PROSTATEx/images/ProstateX-0060.nii.gz,PROSTATEx/anatomy/ProstateX-0060.nii.gz
ProstateX-0155,PROSTATEx/images/ProstateX-0155.nii.gz,PROSTATEx/anatomy/ProstateX-0155.nii.gz
ProstateX-0168,PROSTATEx/images/ProstateX-0168.nii.gz,PROSTATEx/anatomy/ProstateX-0168.nii.gz
ProstateX-0090,PROSTATEx/images/ProstateX-0090.nii.gz,PROSTATEx/anatomy/ProstateX-0090.nii.gz
ProstateX-0005,PROSTATEx/images/ProstateX-0005.nii.gz,PROSTATEx/anatomy/ProstateX-0005.nii.gz
ProstateX-0153,PROSTATEx/images/ProstateX-0153.nii.gz,PROSTATEx/anatomy/ProstateX-0153.nii.gz
ProstateX-0118,PROSTATEx/images/ProstateX-0118.nii.gz,PROSTATEx/anatomy/ProstateX-0118.nii.gz
ProstateX-0193,PROSTATEx/images/ProstateX-0193.nii.gz,PROSTATEx/anatomy/ProstateX-0193.nii.gz
ProstateX-0143,PROSTATEx/images/ProstateX-0143.nii.gz,PROSTATEx/anatomy/ProstateX-0143.nii.gz
ProstateX-0190,PROSTATEx/images/ProstateX-0190.nii.gz,PROSTATEx/anatomy/ProstateX-0190.nii.gz
ProstateX-0176,PROSTATEx/images/ProstateX-0176.nii.gz,PROSTATEx/anatomy/ProstateX-0176.nii.gz
ProstateX-0073,PROSTATEx/images/ProstateX-0073.nii.gz,PROSTATEx/anatomy/ProstateX-0073.nii.gz
ProstateX-0173,PROSTATEx/images/ProstateX-0173.nii.gz,PROSTATEx/anatomy/ProstateX-0173.nii.gz
ProstateX-0098,PROSTATEx/images/ProstateX-0098.nii.gz,PROSTATEx/anatomy/ProstateX-0098.nii.gz
ProstateX-0031,PROSTATEx/images/ProstateX-0031.nii.gz,PROSTATEx/anatomy/ProstateX-0031.nii.gz
ProstateX-0012,PROSTATEx/images/ProstateX-0012.nii.gz,PROSTATEx/anatomy/ProstateX-0012.nii.gz
ProstateX-0035,PROSTATEx/images/ProstateX-0035.nii.gz,PROSTATEx/anatomy/ProstateX-0035.nii.gz
ProstateX-0120,PROSTATEx/images/ProstateX-0120.nii.gz,PROSTATEx/anatomy/ProstateX-0120.nii.gz
ProstateX-0042,PROSTATEx/images/ProstateX-0042.nii.gz,PROSTATEx/anatomy/ProstateX-0042.nii.gz
ProstateX-0075,PROSTATEx/images/ProstateX-0075.nii.gz,PROSTATEx/anatomy/ProstateX-0075.nii.gz
ProstateX-0197,PROSTATEx/images/ProstateX-0197.nii.gz,PROSTATEx/anatomy/ProstateX-0197.nii.gz
ProstateX-0139,PROSTATEx/images/ProstateX-0139.nii.gz,PROSTATEx/anatomy/ProstateX-0139.nii.gz
ProstateX-0051,PROSTATEx/images/ProstateX-0051.nii.gz,PROSTATEx/anatomy/ProstateX-0051.nii.gz
ProstateX-0122,PROSTATEx/images/ProstateX-0122.nii.gz,PROSTATEx/anatomy/ProstateX-0122.nii.gz
ProstateX-0165,PROSTATEx/images/ProstateX-0165.nii.gz,PROSTATEx/anatomy/ProstateX-0165.nii.gz
ProstateX-0041,PROSTATEx/images/ProstateX-0041.nii.gz,PROSTATEx/anatomy/ProstateX-0041.nii.gz
ProstateX-0119,PROSTATEx/images/ProstateX-0119.nii.gz,PROSTATEx/anatomy/ProstateX-0119.nii.gz
ProstateX-0114,PROSTATEx/images/ProstateX-0114.nii.gz,PROSTATEx/anatomy/ProstateX-0114.nii.gz
ProstateX-0026,PROSTATEx/images/ProstateX-0026.nii.gz,PROSTATEx/anatomy/ProstateX-0026.nii.gz
ProstateX-0136,PROSTATEx/images/ProstateX-0136.nii.gz,PROSTATEx/anatomy/ProstateX-0136.nii.gz
ProstateX-0101,PROSTATEx/images/ProstateX-0101.nii.gz,PROSTATEx/anatomy/ProstateX-0101.nii.gz
